epoch,train_loss,val_mpjpe
1,0.11970518176278024,0.10754259824266621
2,0.11134605716454656,0.10750240257113587
3,0.11138246669752958,0.10749486691942402
4,0.11127635775363609,0.10720204489315258
5,0.1111514065669824,0.10685529043160233
6,0.11091278124957868,0.10686143297382429
7,0.11080103027698111,0.10665337551341338
8,0.11063307385942707,0.1075095975150314
9,0.11032734857234236,0.1055969966095569
10,0.10985398422161194,0.1051541933366364
11,0.10944072416383926,0.1050414740708295
12,0.10876875142120335,0.10422397851682176
13,0.10802208001482977,0.10326615897982729
14,0.10694656618041536,0.1014673940561332
15,0.10556484545542769,0.10009823483336205
16,0.10405915862281029,0.0987830546240713
17,0.10248737359700137,0.0969772522092333
18,0.10114845255874608,0.09514694279091031
19,0.09993313245781481,0.09506588337617762
20,0.09882110102637989,0.09521464453005324
21,0.09759079150549353,0.09315556470085593
22,0.09672450034381593,0.093603821441052
23,0.09548222047008881,0.09250373659021714
24,0.09455924890425108,0.09212914620193781
25,0.09372869467184151,0.09113371193081725
26,0.09262625707747185,0.09185947381711473
27,0.09185795292054137,0.09237946841969209
28,0.09116985247763869,0.09136954157810585
29,0.09045527324794907,0.09083976889217601
30,0.08946445517956395,0.09178593747606464
31,0.0889729284821716,0.09120374341179342
32,0.08820638516790247,0.09056400528851677
33,0.08749920262967888,0.09007599879844516
34,0.08685504776770121,0.08962302003149893
35,0.0862918346967191,0.09027026336071538
36,0.08550707509562577,0.09039193043428309
37,0.08504667393352887,0.09036760109695734
38,0.08450470171766739,0.08899879768521178
39,0.08398479294695266,0.09115900717940985
40,0.08344719887085973,0.08924459609087776
41,0.08284831732409458,0.08929813726686964
42,0.08248041487515789,0.09083067775352328
43,0.08174556360056956,0.08979683847464767
44,0.08122062682084841,0.09086405569637523
45,0.08086369535694383,0.0901032133214614
46,0.0807248128807708,0.08946504999497358
47,0.08004636408327377,0.08850372604669308
48,0.07951446239364474,0.09140488856895297
49,0.07929960034073216,0.09053202756993911
50,0.07889835408391202,0.09060415011536842
51,0.07827577617478697,0.0908490222826191
52,0.07804444297025465,0.08909357652252796
53,0.07749811545626759,0.09112340677298751
54,0.07719855348337186,0.08929828835880055
55,0.07685832898706606,0.09020410330978094
56,0.07649118224133368,0.08952351223216337
57,0.07612770925952148,0.08967656420539408
