epoch,train_loss,validation_macro_f1
1,2.197435975074768,0.08237634991532523
2,1.981690675020218,0.08909022904405543
3,1.8513551950454712,0.08318495863031086
4,1.7135495841503143,0.08154566410506171
5,1.661137729883194,0.07942467923559722
6,1.6315812170505524,0.08144158014668083
7,1.5736200213432312,0.22868667387341143
8,1.5510381758213043,0.27891150264644793
9,1.481420487165451,0.3035627275567417
10,1.4212429225444794,0.3322258384209195
11,1.3642885386943817,0.28803186717836127
12,1.3012175559997559,0.27195966207987154
13,1.2423729002475739,0.45058240059297106
14,1.180445373058319,0.4905336977129169
15,1.135859489440918,0.5942831063387963
16,1.068333461880684,0.5568856080101222
17,1.0263955742120743,0.6870473381685175
18,0.9667638093233109,0.705559383883806
19,0.9411887973546982,0.6889063324795888
20,0.8981323093175888,0.7208813840788538
21,0.8843133747577667,0.6532297755772581
22,0.8330741673707962,0.7636594148815455
23,0.7989201992750168,0.7540432014096394
24,0.7685143500566483,0.6861574948236111
25,0.7613538801670074,0.6476619453652778
26,0.7282739281654358,0.8030721840408547
27,0.6985900104045868,0.8215258761491935
28,0.6911658048629761,0.8519847344328729
29,0.6748272925615311,0.8147208903438445
30,0.6427047252655029,0.7464751511369352
31,0.6124886572360992,0.7774661688993943
32,0.5887797921895981,0.8250266954892942
33,0.5859938859939575,0.8186887040576111
34,0.5479173064231873,0.8528955645165396
35,0.5497459322214127,0.8145751108345248
36,0.5383241921663284,0.8611987625238946
37,0.5181500986218452,0.8861634316519508
38,0.5064885094761848,0.8698562438354748
39,0.4862566664814949,0.875878793287848
40,0.4781356528401375,0.8343992171990221
41,0.47202111035585403,0.8644422064240318
42,0.44783763587474823,0.8894059799269888
43,0.44823507964611053,0.856339598465845
44,0.4319199025630951,0.8768873938997521
45,0.41887541860342026,0.8890499752678165
46,0.41230760514736176,0.8893314440659967
47,0.3956953287124634,0.8909744048102638
48,0.39063628017902374,0.8259522211916671
49,0.38596514612436295,0.8815872361954943
50,0.3798810690641403,0.841758852496017
51,0.37128593772649765,0.8808298301092423
52,0.36723005026578903,0.8677074668872126
53,0.35281364619731903,0.8578815996404094
54,0.3534327894449234,0.9063217396951578
55,0.3428103178739548,0.860356451101125
56,0.34465404599905014,0.8888928168855327
57,0.3405609503388405,0.8807598985451
58,0.3256817013025284,0.8646190770961238
59,0.3356077969074249,0.8700912300555526
60,0.32773056626319885,0.8781912755641861
